NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
4686,"SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL",57.19,207,0.98,10.0,28.26,0.8,18.33,67.0,0.41,12.0,28.0,55.0,701.0,0.17,0.025,0.833,5.573,3.152,0.0,"Fats, Oils and Salad Dressings"
4022,"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",65.0,141,0.5,4.0,27.6,0.3,21.87,19.0,0.6,0.0,37.0,157.0,868.0,0.1,0.01,0.6,0.9,2.3,6.0,"Fats, Oils and Salad Dressings"
4638,"SALAD DRSNG,RANCH DRSNG,FAT-FREE",68.33,119,0.25,1.92,26.51,0.1,5.35,50.0,1.05,8.0,113.0,111.0,897.0,0.4,0.195,0.447,0.388,0.698,7.0,"Fats, Oils and Salad Dressings"
5016,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,BATTER",36.11,394,10.32,28.83,23.15,0.7,1.84,26.0,1.43,12.0,80.0,75.0,581.0,0.72,0.071,7.61,12.35,6.83,74.0,Poultry Products
5326,"CHICKEN BREAST TENDERS,BREADED,CKD,MICROWAVED",51.34,252,16.35,12.89,17.56,0.0,0.0,14.0,1.0,26.0,216.0,225.0,446.0,0.77,0.316,3.2,5.71,2.79,45.0,Poultry Products
5300,"TURKEY STKS,BREADED,BATTERED,FRIED",49.4,279,14.2,16.9,17.0,0.7,1.84,14.0,2.2,15.0,234.0,260.0,838.0,1.46,0.073,4.38,6.92,4.39,64.0,Poultry Products
5327,"CHICKEN BREAST TENDERS,BREADED,UNCKD",52.74,263,14.73,15.75,15.01,1.1,0.37,19.0,1.11,23.0,211.0,214.0,536.0,0.78,0.205,3.26,6.48,3.34,41.0,Poultry Products
5323,"CHICKEN PATTY,FRZ,UNCKD",50.04,292,14.33,20.04,13.61,1.2,0.0,20.0,0.93,25.0,196.0,248.0,518.0,0.94,0.207,4.013,8.98,5.204,45.0,Poultry Products
5324,"CHICKEN PATTY,FRZ,CKD",50.82,287,14.85,19.58,12.84,0.3,0.0,19.0,0.95,24.0,208.0,261.0,532.0,1.05,0.09,3.662,8.337,4.805,43.0,Poultry Products
5101,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER",46.21,324,19.87,21.81,10.94,0.3,1.84,20.0,1.29,16.0,121.0,138.0,320.0,1.38,0.063,5.83,8.96,5.07,79.0,Poultry Products
