NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
5313,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)",53.89,248,25.34,13.9,3.84,0.9,2.1,38.0,2.74,27.0,272.0,254.0,837.0,1.55,0.049,3.655,6.297,2.599,156.0,Poultry Products
5312,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV",61.79,211,19.67,12.67,3.34,0.6,2.04,28.0,2.41,20.0,205.0,190.0,615.0,1.14,0.039,3.321,5.766,2.359,126.0,Poultry Products
5320,"CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN)",57.25,242,22.24,14.87,3.36,0.5,1.94,28.0,1.97,21.0,233.0,218.0,559.0,1.3,0.0,3.966,6.737,2.838,136.0,Poultry Products
5001,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,RAW",66.34,213,18.33,14.83,0.13,0.0,1.84,11.0,1.31,20.0,149.0,189.0,70.0,1.48,0.064,4.24,6.08,3.19,90.0,Poultry Products
5002,"CHICKEN,BROILER OR FRYER,MEAT&SKN&GIBLETS&NECK,FRIED,BATTER",49.29,291,22.84,17.53,9.03,0.7,1.84,21.0,1.79,21.0,158.0,190.0,284.0,1.91,0.089,4.67,7.13,4.15,103.0,Poultry Products
5003,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,FRIED,FLR",51.88,272,28.57,15.27,3.27,0.7,1.84,17.0,1.99,25.0,194.0,237.0,86.0,2.36,0.1,4.16,5.99,3.51,112.0,Poultry Products
5005,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,STWD",64.04,216,24.49,12.37,0.06,0.0,1.84,14.0,1.53,19.0,144.0,163.0,66.0,1.98,0.071,3.45,4.82,2.7,97.0,Poultry Products
5016,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,BATTER",36.11,394,10.32,28.83,23.15,0.7,1.84,26.0,1.43,12.0,80.0,75.0,581.0,0.72,0.071,7.61,12.35,6.83,74.0,Poultry Products
5017,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,FLR",28.54,502,19.09,42.58,9.34,0.7,1.84,14.0,1.52,17.0,126.0,125.0,53.0,1.15,0.079,11.67,18.01,9.44,73.0,Poultry Products
5019,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,STWD",53.27,363,15.22,33.04,0.0,0.0,1.84,12.0,1.13,13.0,99.0,117.0,56.0,0.96,0.046,9.28,13.83,6.96,63.0,Poultry Products
6150,"SAUCE,BARBECUE",54.71,172,0.82,0.63,40.77,0.9,33.24,33.0,0.64,13.0,20.0,232.0,1027.0,0.17,0.072,0.045,0.082,0.101,0.0,"Soups, Sauces, and Gravies"
6307,"SAUCE,BARBECUE,KRAFT,ORIGINAL",54.22,172,0.74,0.62,40.77,0.4,32.26,47.0,0.79,15.0,19.0,247.0,1242.0,0.16,0.091,0.038,0.092,0.082,4.0,"Soups, Sauces, and Gravies"
6175,"SAUCE,HOISIN,RTS",44.23,220,3.31,3.39,44.08,2.8,27.26,32.0,1.01,24.0,38.0,119.0,1615.0,0.32,0.128,0.568,0.963,1.698,3.0,"Soups, Sauces, and Gravies"
6124,"GRAVY,PORK,DRY,PDR",4.43,367,8.78,8.63,63.57,2.4,24.73,139.0,3.94,34.0,188.0,235.0,5356.0,1.06,0.154,4.29,3.881,0.454,10.0,"Soups, Sauces, and Gravies"
